Subject,Session,ID,TETTime,RTTime,CursorX,CursorY,TimestampSec,TimestampMicrosec,XGazePosLeftEye,YGazePosLeftEye,XCameraPosLeftEye,YCameraPosLeftEye,DiameterPupilLeftEye,DistanceLeftEye,ValidityLeftEye,XGazePosRightEye,YGazePosRightEye,XCameraPosRightEye,YCameraPosRightEye,DiameterPupilRightEye,DistanceRightEye,ValidityRightEye,TrialId,SoundFile,Condition,TrialType,AdjectiveType,AdjectiveOnset,NounOnset,SceneID,Target,Competitor,Contrast,Distractor,AOI1,AOI2,AOI3,AOI4,LookedObj,LookedStimulus,LookedType,ClickedObj,ClickedType,RT,CurrentObject,NthAfterAdj
3,1,24764,207936.286,207387,968,486,207,936286,0.4990252,0.4819362,0.5362793,0.2819708,2.946799,584.3529,0,0.5093495,0.4194498,0.3241816,0.3199996,3.017534,584.0944,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,1
3,1,24769,207952.971,207404,963,485,207,952971,0.4981387,0.481487,0.5365247,0.2818865,2.955491,584.3586,0,0.5051077,0.4183063,0.3244814,0.3198639,3.028185,584.0429,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,2
3,1,24774,207969.575,207421,961,492,207,969575,0.4968101,0.4948664,0.5368031,0.2818071,2.969318,584.415,0,0.5042377,0.4179167,0.3247088,0.3196494,3.021814,584.014,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,3
3,1,24779,207986.224,207437,961,484,207,986224,0.4976386,0.4864548,0.537065,0.2817217,2.972629,584.3708,0,0.5043293,0.4116572,0.3249858,0.3194304,3.01307,584,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,4
3,1,24784,208002.914,207454,958,490,208,2914,0.4968419,0.4864343,0.5373697,0.2817467,2.986535,584.4366,0,0.501938,0.4209823,0.3252621,0.3193138,3.01413,584.0998,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,5
3,1,24789,208019.595,207471,959,488,208,19595,0.4968103,0.4931819,0.5376487,0.281826,2.985055,584.31,0,0.5028766,0.4112109,0.3255256,0.3192627,2.985274,584.0116,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,6
3,1,24794,208036.289,207487,962,481,208,36289,0.4989561,0.4851354,0.5379323,0.2818621,2.971454,584.3472,0,0.504156,0.406029,0.3257773,0.3191715,3.002511,584.0764,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,7
3,1,24799,208052.886,207504,959,489,208,52886,0.4969418,0.4884835,0.5381701,0.2817963,2.973169,584.2302,0,0.5022559,0.4176589,0.3259944,0.3190321,3.037028,583.981,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,8
3,1,24804,208069.583,207521,960,489,208,69583,0.49719,0.4861512,0.5384028,0.2816756,2.960127,584.2605,0,0.5030873,0.4204246,0.3261937,0.318915,3.031608,583.9839,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,9
3,1,24809,208086.222,207537,959,483,208,86222,0.4979152,0.4845749,0.5385988,0.2815573,2.962479,584.1534,0,0.5013602,0.4116043,0.32637,0.3188222,3.005053,583.866,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,10
3,1,24814,208102.906,207554,961,488,208,102906,0.4978445,0.4885333,0.5387594,0.2815011,2.967439,584.0687,0,0.5034935,0.4155414,0.3265046,0.3188226,3.040132,583.7128,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,11
3,1,24819,208119.589,207571,957,493,208,119589,0.4971642,0.4862307,0.5389156,0.2815847,2.955822,583.9875,0,0.5006868,0.4281466,0.3266369,0.3189029,3.020643,583.6454,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,12
